Offer                                               Publisher                           Sku                                                Urn                                                                                                                               Version
--------------------------------------------------  ----------------------------------  -------------------------------------------------  --------------------------------------------------------------------------------------------------------------------------------  ---------------------
deviceon_ads_windows_v1                             advantech                           standard                                           advantech:deviceon_ads_windows_v1:standard:4.1.271                                                                                4.1.271
deviceon_ads_windows_v1                             advantech                           standard                                           advantech:deviceon_ads_windows_v1:standard:4.1.28                                                                                 4.1.28
deviceon_iedge_on_windows_vm_v1                     advantech                           standard                                           advantech:deviceon_iedge_on_windows_vm_v1:standard:1.0.2                                                                          1.0.2
deviecon_on_windows_vm_v1                           advantech                           standard                                           advantech:deviecon_on_windows_vm_v1:standard:4.2.3                                                                                4.2.3
deviecon_sqmanager_on_windows_v1                    advantech                           standard                                           advantech:deviecon_sqmanager_on_windows_v1:standard:1.0.3                                                                         1.0.3
andiparos-on-windows-server-2019                    apps-4-rent                         andiparos-on-windows-server-2019                   apps-4-rent:andiparos-on-windows-server-2019:andiparos-on-windows-server-2019:1.0.1                                               1.0.1
blender-3d-on-windows-server-2019                   apps-4-rent                         blender-3d-on-windows-server-2019                  apps-4-rent:blender-3d-on-windows-server-2019:blender-3d-on-windows-server-2019:1.0.1                                             1.0.1
blender-3d-windows-server-2016                      apps-4-rent                         blender-3d-on-windows-server-2016                  apps-4-rent:blender-3d-windows-server-2016:blender-3d-on-windows-server-2016:2.0.2                                                2.0.2
blender-3d-windows-server-2016                      apps-4-rent                         blender-3d-on-windows-server-2016-v1               apps-4-rent:blender-3d-windows-server-2016:blender-3d-on-windows-server-2016-v1:2.0.3                                             2.0.3
blogengine-windows-server-2016                      apps-4-rent                         blogengine-windows-server-2016-v1                  apps-4-rent:blogengine-windows-server-2016:blogengine-windows-server-2016-v1:1.0.1                                                1.0.1
azul-zulu11-windows-2019                            azul                                azul-zulu11-windows2019                            azul:azul-zulu11-windows-2019:azul-zulu11-windows2019:20.11.0                                                                     20.11.0
blogengine-windows-server-2019                      apps-4-rent                         blogengine-windows-server-2019-v1                  apps-4-rent:blogengine-windows-server-2019:blogengine-windows-server-2019-v1:1.0.2                                                1.0.2
azul-zulu13-windows-2019                            azul                                azul-zulu13-windows2019                            azul:azul-zulu13-windows-2019:azul-zulu13-windows2019:20.11.0                                                                     20.11.0
bluefish-editor-windows-server-2016                 apps-4-rent                         bluefish-editor-on-windows-server-2016-v1          apps-4-rent:bluefish-editor-windows-server-2016:bluefish-editor-on-windows-server-2016-v1:1.0.1                                   1.0.1
azul-zulu15-windows-2019                            azul                                zulu-jdk15-windows2019                             azul:azul-zulu15-windows-2019:zulu-jdk15-windows2019:20.11.0                                                                      20.11.0
bluefish-editor-windows-server-2019                 apps-4-rent                         bluefish-editor-windows-server-2019-v1             apps-4-rent:bluefish-editor-windows-server-2019:bluefish-editor-windows-server-2019-v1:1.0.1                                      1.0.1
rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.3.7                                                                                       1.3.7
rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.3.8                                                                                       1.3.8
rendering-windows2016                               batch                               rendering                                          batch:rendering-windows2016:rendering:1.4.2                                                                                       1.4.2
azul-zulu7-windows-2019                             azul                                azul-zulu7-windows2019                             azul:azul-zulu7-windows-2019:azul-zulu7-windows2019:20.11.0                                                                       20.11.0
azul-zulu8-windows-2019                             azul                                azul-zulu8-windows2019                             azul:azul-zulu8-windows-2019:azul-zulu8-windows2019:20.11.0                                                                       20.11.0
brackets-windows-server-2019                        apps-4-rent                         brackets-windows-server-2019-v1                    apps-4-rent:brackets-windows-server-2019:brackets-windows-server-2019-v1:1.0.1                                                    1.0.1
bissan_secure_windows_server2019                    bissantechnology1583581147809       secureserver2019                                   bissantechnology1583581147809:bissan_secure_windows_server2019:secureserver2019:7.5.20201228                                      7.5.20201228
clamav-on-windows-server-2016                       apps-4-rent                         clamav-on-windows-server-2016                      apps-4-rent:clamav-on-windows-server-2016:clamav-on-windows-server-2016:1.0.0                                                     1.0.0
r_on_windows_server2019                             bissantechnology1583581147809       ronsecureserver2019                                bissantechnology1583581147809:r_on_windows_server2019:ronsecureserver2019:7.5.20210109                                            7.5.20210109
dc-plus-plus-on-windows-server-2012-r2              apps-4-rent                         dc-plus-plus-on-windows-server-2012-r2             apps-4-rent:dc-plus-plus-on-windows-server-2012-r2:dc-plus-plus-on-windows-server-2012-r2:1.0.1                                   1.0.1
dc-plus-plus-on-windows-server-2012-r2              apps-4-rent                         dc-plus-plus-on-windows-server-2012-r2-v1          apps-4-rent:dc-plus-plus-on-windows-server-2012-r2:dc-plus-plus-on-windows-server-2012-r2-v1:1.0.2                                1.0.2
dev-tool-windows-2016                               apps-4-rent                         iis-with-python-djan-php                           apps-4-rent:dev-tool-windows-2016:iis-with-python-djan-php:1.0.2                                                                  1.0.2
docuwiki-on-windows-2019                            apps-4-rent                         dokuwiki-on-windows-2019                           apps-4-rent:docuwiki-on-windows-2019:dokuwiki-on-windows-2019:1.0.1                                                               1.0.1
dokuwiki-on-windows-2016                            apps-4-rent                         dokuwiki-on-windows-2016                           apps-4-rent:dokuwiki-on-windows-2016:dokuwiki-on-windows-2016:1.0.0                                                               1.0.0
dolibarr-on-windows-server-2016                     apps-4-rent                         dolibarr-on-windows-server-2016                    apps-4-rent:dolibarr-on-windows-server-2016:dolibarr-on-windows-server-2016:1.0.0                                                 1.0.0
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1:3.2.2                                      3.2.2
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1:3.2.3                                      3.2.3
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1                                   center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1:3.2.4                                      3.2.4
dolibarr-on-windows-server-2019                     apps-4-rent                         dolibarr-on-windows-server-2019                    apps-4-rent:dolibarr-on-windows-server-2019:dolibarr-on-windows-server-2019:1.0.0                                                 1.0.0
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1-private0:3.2.2                             3.2.2
cis-windows-server-2008-r2-v3-0-1-l1                center-for-internet-security-inc    cis-ws2008-r2-l1-private0                          center-for-internet-security-inc:cis-windows-server-2008-r2-v3-0-1-l1:cis-ws2008-r2-l1-private0:3.2.3                             3.2.3
